Structure file path : glass_ceramic.cif
List of environment information
Species : Li
Envtype : both
Site index 0: {'frac_coords': array([0.0953, 0.0676, 0.0372]), 'type': 'tribip', 'csm': 13.067795989379771, 'volume': 13.37975511327486}
Site index 1: {'frac_coords': array([0.0876, 0.0894, 0.1541]), 'type': 'tribip', 'csm': 5.238258777898622, 'volume': 10.284397468164634}
Site index 2: {'frac_coords': array([0.1675, 0.0125, 0.0806]), 'type': 'tet', 'csm': 6.103256222171917, 'volume': 6.166302121708047}
Site index 3: {'frac_coords': array([0.2082, 0.0126, 0.1582]), 'type': 'tet', 'csm': 3.259338354461499, 'volume': 6.2418318620456645}
Site index 4: {'frac_coords': array([0.204 , 0.051 , 0.2971]), 'type': 'tet', 'csm': 9.018961977183407, 'volume': 5.768873631738837}
Site index 5: {'frac_coords': array([0.0272, 0.0699, 0.4758]), 'type': 'tet', 'csm': 4.022751224363529, 'volume': 7.095495400476245}
Site index 6: {'frac_coords': array([0.0832, 0.0665, 0.2889]), 'type': 'tet', 'csm': 2.6420364672709082, 'volume': 4.2462404539854735}
Site index 7: {'frac_coords': array([0.1534, 0.0087, 0.3421]), 'type': 'tribip', 'csm': 7.255217502025077, 'volume': 9.855742918471229}
Site index 8: {'frac_coords': array([0.0242, 0.0871, 0.3435]), 'type': 'tet', 'csm': 3.432357585286558, 'volume': 5.629759558456531}
Site index 9: {'frac_coords': array([0.2203, 0.0141, 0.4014]), 'type': 'tet', 'csm': 4.883887505756259, 'volume': 6.855113525050754}
Site index 10: {'frac_coords': array([0.1676, 0.0422, 0.7039]), 'type': 'tet', 'csm': 3.5562634368220243, 'volume': 4.628069928009614}
Site index 11: {'frac_coords': array([0.2129, 0.011 , 0.6746]), 'type': 'tribip', 'csm': 7.611723467485029, 'volume': 10.33136231299995}
Site index 12: {'frac_coords': array([0.0399, 0.0637, 0.9558]), 'type': 'tribip', 'csm': 4.139560560770769, 'volume': 11.791954723708422}
Site index 13: {'frac_coords': array([0.1009, 0.0805, 0.8994]), 'type': 'tet', 'csm': 3.5125105125070553, 'volume': 5.356965296665472}
Site index 14: {'frac_coords': array([0.0418, 0.0887, 0.8388]), 'type': 'tet', 'csm': 5.3825599498865895, 'volume': 6.459428218360816}
Site index 15: {'frac_coords': array([0.2151, 0.0049, 0.92  ]), 'type': 'tribip', 'csm': 5.798165589184754, 'volume': 10.473699679704946}
Site index 16: {'frac_coords': array([0.17  , 0.1349, 0.2141]), 'type': 'tribip', 'csm': 4.256897301627763, 'volume': 11.674231160407496}
Site index 17: {'frac_coords': array([0.0958, 0.1624, 0.0296]), 'type': 'tribip', 'csm': 12.879286674471485, 'volume': 10.90851184279895}
Site index 18: {'frac_coords': array([0.1612, 0.1117, 0.0791]), 'type': 'tribip', 'csm': 5.898817320207016, 'volume': 9.326228126492888}
Site index 19: {'frac_coords': array([0.2056, 0.1352, 0.2943]), 'type': 'tet', 'csm': 5.31409894758939, 'volume': 5.944890742416656}
Site index 20: {'frac_coords': array([0.1588, 0.1371, 0.4659]), 'type': 'tet', 'csm': 3.3098689752244144, 'volume': 6.422055922871626}
Site index 21: {'frac_coords': array([0.0883, 0.1922, 0.4315]), 'type': 'tet', 'csm': 3.8447452057788594, 'volume': 5.683343227190248}
Site index 22: {'frac_coords': array([0.0302, 0.184 , 0.3423]), 'type': 'tribip', 'csm': 5.533035095539934, 'volume': 10.285062088587086}
Site index 23: {'frac_coords': array([0.2306, 0.1152, 0.3986]), 'type': 'tet', 'csm': 3.2206921087607725, 'volume': 6.005809841090944}
Site index 24: {'frac_coords': array([0.1587, 0.1337, 0.7156]), 'type': 'tribip', 'csm': 3.4563934091760617, 'volume': 9.005959523793164}
Site index 25: {'frac_coords': array([0.0846, 0.1591, 0.5405]), 'type': 'tet', 'csm': 10.390093704105375, 'volume': 4.37192623469842}
Site index 26: {'frac_coords': array([0.0822, 0.1857, 0.6627]), 'type': 'tet', 'csm': 7.163949843006341, 'volume': 5.209863013161257}
Site index 27: {'frac_coords': array([0.208 , 0.138 , 0.7881]), 'type': 'tribip', 'csm': 5.2824522712537405, 'volume': 8.7317588752375}
Site index 28: {'frac_coords': array([0.1553, 0.1376, 0.9621]), 'type': 'tribip', 'csm': 6.419728672181879, 'volume': 8.636016996465015}
Site index 29: {'frac_coords': array([0.0858, 0.1651, 0.7811]), 'type': 'tribip', 'csm': 6.582894087436094, 'volume': 11.238967221928178}
Site index 30: {'frac_coords': array([0.0415, 0.2888, 0.0828]), 'type': 'tet', 'csm': 2.9264716191485296, 'volume': 4.728933130329867}
Site index 31: {'frac_coords': array([0.1754, 0.235 , 0.4656]), 'type': 'tet', 'csm': 10.27307508201874, 'volume': 4.065330589984541}
Site index 32: {'frac_coords': array([0.0871, 0.2955, 0.4131]), 'type': 'tribip', 'csm': 5.620957343044691, 'volume': 8.302152581699062}
Site index 33: {'frac_coords': array([0.214 , 0.2025, 0.4086]), 'type': 'tribip', 'csm': 7.4995614065365, 'volume': 10.108426978042552}
Site index 34: {'frac_coords': array([0.0408, 0.2612, 0.7028]), 'type': 'tet', 'csm': 3.0091902413202387, 'volume': 4.434839009637957}
Site index 35: {'frac_coords': array([0.1507, 0.2326, 0.7209]), 'type': 'tribip', 'csm': 5.483663344085617, 'volume': 12.18827495796685}
Site index 36: {'frac_coords': array([0.0844, 0.2602, 0.5479]), 'type': 'tet', 'csm': 6.070927170447008, 'volume': 5.53832046097451}
Site index 37: {'frac_coords': array([0.1596, 0.2152, 0.5857]), 'type': 'tribip', 'csm': 7.015842338179764, 'volume': 10.90453300036993}
Site index 38: {'frac_coords': array([0.0388, 0.2835, 0.6032]), 'type': 'tet', 'csm': 6.899218240462945, 'volume': 4.92483566554804}
Site index 39: {'frac_coords': array([0.2098, 0.2131, 0.6688]), 'type': 'tet', 'csm': 4.257963816064053, 'volume': 5.336157173626248}
Site index 40: {'frac_coords': array([0.2089, 0.2379, 0.8005]), 'type': 'tet', 'csm': 9.387647302084716, 'volume': 5.020648492666247}
Site index 41: {'frac_coords': array([0.0358, 0.2952, 0.8257]), 'type': 'tet', 'csm': 4.612021950376524, 'volume': 6.318860952755997}
Site index 42: {'frac_coords': array([0.0423, 0.3879, 0.0741]), 'type': 'tet', 'csm': 6.981670923839695, 'volume': 4.44981207062143}
Site index 43: {'frac_coords': array([0.21  , 0.3374, 0.2933]), 'type': 'tet', 'csm': 3.888375800324881, 'volume': 3.943396283990306}
Site index 44: {'frac_coords': array([0.0122, 0.3596, 0.4685]), 'type': 'tribip', 'csm': 3.7135225525261424, 'volume': 14.04136767739907}
Site index 45: {'frac_coords': array([0.165 , 0.3406, 0.4647]), 'type': 'tribip', 'csm': 2.5333364970476557, 'volume': 11.587989977386208}
Site index 46: {'frac_coords': array([0.0772, 0.3575, 0.293 ]), 'type': 'tet', 'csm': 9.756443907551409, 'volume': 5.323641774438871}
Site index 47: {'frac_coords': array([0.0889, 0.3946, 0.4067]), 'type': 'tet', 'csm': 6.624047794346012, 'volume': 4.341407808409458}
Site index 48: {'frac_coords': array([0.1529, 0.3157, 0.3364]), 'type': 'tet', 'csm': 7.731781802297609, 'volume': 4.157887470790881}
Site index 49: {'frac_coords': array([0.0197, 0.378 , 0.3589]), 'type': 'tet', 'csm': 4.881502424943653, 'volume': 6.0376102401614355}
Site index 50: {'frac_coords': array([0.1683, 0.3405, 0.7057]), 'type': 'tet', 'csm': 3.9840934904620458, 'volume': 5.259521767608768}
Site index 51: {'frac_coords': array([0.0768, 0.3835, 0.6597]), 'type': 'tet', 'csm': 7.016438946482858, 'volume': 5.245858707240901}
Site index 52: {'frac_coords': array([0.2133, 0.3452, 0.7916]), 'type': 'tribip', 'csm': 3.8661753548312103, 'volume': 13.153838005273785}
Site index 53: {'frac_coords': array([0.03  , 0.3644, 0.9727]), 'type': 'tet', 'csm': 4.26423952857709, 'volume': 5.911118682343336}
